id,name,categories,difficulty,solved
1479A,"Searching Local Minimum","binary search;interactive;ternary search",1700,7400
1478C,"Nezzar and Symmetric Array","implementation;math;sortings",1700,6536
1478B,"Nezzar and Lucky Number","brute force;dp;greedy;math",1100,13689
1478A,"Nezzar and Colorful Balls","brute force;greedy",800,19726
1477F,"Nezzar and Chocolate Bars","combinatorics;fft;math;probabilities",3500,57
1477E,"Nezzar and Tournaments","data structures;greedy",3300,60
1477D,"Nezzar and Hidden Permutations","constructive algorithms;dfs and similar;graphs",2800,269
1477C,"Nezzar and Nice Beatmap","constructive algorithms;geometry;greedy;math;sortings",2200,1568
1477B,"Nezzar and Binary String","data structures;greedy",1900,2058
1477A,"Nezzar and Board","constructive algorithms;math;number theory",1800,3957
1476G,"Minimum Difference","data structures;hashing;sortings;two pointers",3100,175
1476F,"Lanterns","binary search;data structures;dp",3000,122
1476E,"Pattern Matching","bitmasks;data structures;dfs and similar;graphs;hashing;sortings;strings",2300,1590
1476D,"Journey","dfs and similar;dp;dsu;implementation",1700,5579
1476C,"Longest Simple Cycle","dp;graphs;greedy",1600,7386
1476B,"Inflation","binary search;brute force;greedy;math",1300,12615
1476A,"K-divisible Sum","binary search;constructive algorithms;greedy;math",1000,17468
1475G,"Strange Beauty","dp;math;number theory;sortings",1900,3621
1475F,"Unusual Matrix","2-sat;brute force;constructive algorithms",1900,3417
1475E,"Advertising Agency","combinatorics;math;sortings",1600,7753
1475D,"Cleaning the Phone","binary search;dp;sortings;two pointers",1800,6016
1475C,"Ball in Berland","combinatorics;graphs;math",1400,12157
1475B,"New Year's Number","brute force;dp;math",900,23969
1475A,"Odd Divisor","math;number theory",900,25074
1474F,"1 2 3 4 ...","dp;math;matrices",3000,78
1474E,"What Is It?","constructive algorithms;greedy",2500,933
1474D,"Cleaning","data structures;dp;greedy;math",2200,2880
1474C,"Array Destruction","brute force;constructive algorithms;data structures;greedy;implementation;sortings",1700,7878
1474B,"Different Divisors","binary search;constructive algorithms;greedy;math;number theory",1000,16043
1474A,"Puzzle From the Future","greedy",800,18452
1473G,"Tiles","combinatorics;dp;fft;math",2800,223
1473F,"Strange Set","flows;math",2700,483
1473E,"Minimum Path","graphs;shortest paths",2400,1771
1473D,"Program","data structures;dp;implementation;strings",1700,6071
1473C,"No More Inversions","constructive algorithms;math",1500,8984
1473B,"String LCM","brute force;math;number theory;strings",1000,17994
1473A,"Replacing Elements","greedy;implementation;math;sortings",800,22437
1472G,"Moving to the Capital","dfs and similar;dp;graphs;shortest paths",2100,2480
1472F,"New Year's Puzzle","brute force;dp;graph matchings;greedy;sortings",2100,2103
1472E,"Correct Placement","binary search;data structures;dp;sortings;two pointers",1700,4988
1472D,"Even-Odd Game","dp;games;greedy;sortings",1200,15035
1472C,"Long Jumps","dp;graphs",1100,17032
1472B,"Fair Division","dp;greedy;math",800,24058
1472A,"Cards for Friends","greedy;math",800,24714
1471B,"Strange List","brute force;greedy;implementation;math",1100,13961
1471A,"Strange Partition","greedy;math;number theory",900,16730
1470F,"Strange Covering","divide and conquer",3500,31
1470E,"Strange Permutation","binary search;combinatorics;data structures;dp;graphs;implementation;two pointers",3200,123
